title,summary,year,genre,director,cast,duration,language,poster_url,country
Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995,Animation,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",81,en,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,US
The Bad Guys 2,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",2025,Animation,Pierre Perifel,"Sam Rockwell, Marc Maron, Craig Robinson, Anthony Ramos, Awkwafina",104,en,https://image.tmdb.org/t/p/w500/iPYgLLhQ69vIvgDtGFtAln4TYtM.jpg,US
Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",2007,Animation,Brad Bird,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn",111,en,https://image.tmdb.org/t/p/w500/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,US
Hola Frida!,"It’s the story of a little girl who is different. Her world is Coyoacan, Mexico City. Sparkling, vibrant, everything interests her and when difficulties arise, she faces them with an overflowing imagination. This little girl is called Frida Kahlo.",2025,Animation,Karine Vézina,"Olivia Ruiz, Emma Rodriguez, Rebeca Gonzales, Léo Côté, Sophie Faucher",82,fr,https://image.tmdb.org/t/p/w500/hY8TslXAaJD0cytxifrhy6h5cJl.jpg,"CA, FR"
Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017,Animation,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor",105,en,https://image.tmdb.org/t/p/w500/6Ryitt95xrO8KXuqRGm1fUuNwqF.jpg,US
Savages,"In Borneo, near the tropical forest, Kéria rescues a baby orangutang in the palm oil plantation where her father works. Kéria's cousin Selaï comes to live with them seeking refuge from the conflict between his indigenous tribe and the logging companies. Kéria, Selaï and the little orangutang, now named Oshi, will have to fight against their forest’s destruction.",2024,Animation,Claude Barras,"Babette De Coster, Martin Verset, Laetitia Dosch, Benoît Poelvoorde, Pierre-Isaie Duc",87,fr,https://image.tmdb.org/t/p/w500/qC6yrKvmIEnkFVjpp0U7u02SiDQ.jpg,"CH, BE, FR, GB"
Panda Bear in Africa,"A young adventurous panda travels from China to Africa to rescue his best friend, Jielong the Dragon, who has been kidnapped. On his journey, he discovers a strange amazing new world of mountains, deserts and jungles.",2024,Animation,Karsten Kiilerich,"Yootha Wong-Loi-Sing, Maurits Delchot, Georgina Verbaan, Namisa Mdalose, Silas Lekgoathi",94,nl,https://image.tmdb.org/t/p/w500/wxpu7svVqA0ALYpofQBPujGelN3.jpg,"DK, EE, FR, DE, NL"
Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",2015,Animation,Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black",95,en,https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,US
Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",2016,Animation,Byron Howard,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence",109,en,https://image.tmdb.org/t/p/w500/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,US
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020,Animation,Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino",117,ja,https://image.tmdb.org/t/p/w500/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,JP
"Monsters, Inc.","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",2001,Animation,Pete Docter,"John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn",92,en,https://image.tmdb.org/t/p/w500/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg,US
Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",2009,Animation,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo",96,en,https://image.tmdb.org/t/p/w500/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,US
Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",2022,Animation,Joel Crawford,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén, Wagner Moura, Florence Pugh",103,en,https://image.tmdb.org/t/p/w500/aV1KGO9X3S4kzqEptVDAvGjccql.jpg,US
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",2024,Animation,Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson, Keegan-Michael Key, Jon Hamm",104,en,https://image.tmdb.org/t/p/w500/iRCgqpdVE4wyLQvGYU3ZP7pAtUc.jpg,US
Tangled,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",2010,Animation,Byron Howard,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",100,en,https://image.tmdb.org/t/p/w500/cWYK5KEe6MqHvbfp5cvCXAmkGLx.jpg,US
Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018,Animation,Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry",117,en,https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,US
Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001,Animation,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi",125,ja,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,JP
The Bad Guys,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",2022,Animation,Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson, Anthony Ramos",100,en,https://image.tmdb.org/t/p/w500/6fcFmdVLCCbf1gFt8HlC6BRj8pt.jpg,US
Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023,Animation,Peter Sohn,"Leah Lewis, Mamoudou Athie, Ronnie del Carmen, Shila Ommi, Wendi McLendon-Covey",102,en,https://image.tmdb.org/t/p/w500/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,US
Plankton: The Movie,Plankton's tangled love story with his sentient computer wife goes sideways when she takes a stand — and decides to destroy the world without him.,2025,Animation,Dave Needham,"Mr. Lawrence, Jill Talley, Tom Kenny, Bill Fagerbakke, Rodger Bumpass",83,en,https://image.tmdb.org/t/p/w500/hGaUNLF5VZbg9ovPTyjm9Rv5xWz.jpg,US
Madea's Destination Wedding,Madea packs her best floral dresses and a whole lot of chaos when the Simmons family heads to the Bahamas for her grandniece's whirlwind wedding.,2025,Comedy,Tyler Perry,"Tyler Perry, Xavier Smalls, Diamond White, Cassi Davis, Tamela Mann",102,en,https://image.tmdb.org/t/p/w500/jwMwRucnAROgWo9WLLmIqzHmmzi.jpg,US
The Ugly Stepsister,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",2025,Comedy,Emilie Blichfeldt,"Lea Myren, Ane Dahl Torp, Thea Sofie Loch Næss, Flo Fagerli, Isac Calmroth",109,no,https://image.tmdb.org/t/p/w500/crX9rSg9EohybhkEe8iTQUCe55y.jpg,"DK, NO, PL, SE"
Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2024,Comedy,Chris Renaud,"Steve Carell, Kristen Wiig, Will Ferrell, Sofía Vergara, Miranda Cosgrove",94,en,https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,US
Anora,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",2024,Comedy,Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov, Karren Karagulian, Vache Tovmasyan",139,en,https://image.tmdb.org/t/p/w500/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,US
Death of a Unicorn,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",2025,Comedy,Alex Scharfman,"Paul Rudd, Jenna Ortega, Will Poulter, Richard E. Grant, Téa Leoni",107,en,https://image.tmdb.org/t/p/w500/xWlF2i51zUq7BUq4iJte1g9NyIM.jpg,US
The Monkey,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",2025,Comedy,Osgood Perkins,"Theo James, Tatiana Maslany, Christian Convery, Colin O'Brien, Adam Scott",97,en,https://image.tmdb.org/t/p/w500/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,"CA, US"
The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",2009,Comedy,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham",100,en,https://image.tmdb.org/t/p/w500/A0uS9rHR56FeBtpjVki16M5xxSW.jpg,US
The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022,Crime,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano",177,en,https://image.tmdb.org/t/p/w500/74xTEgt7R36Fpooo50r9T25onhq.jpg,US
The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972,Crime,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano",175,en,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,US
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995,Crime,David Fincher,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie",127,en,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,US
Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",2024,Crime,Adil El Arbi,"Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Nuñez",115,en,https://image.tmdb.org/t/p/w500/oGythE98MYleE6mZlGs5oBGkux1.jpg,US
The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",2013,Crime,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler",180,en,https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,US
Last Bullet,Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,2025,Crime,Guillaume Pierret,"Alban Lenoir, Stéfi Celma, Nicolas Duvauchelle, Gérard Lanvin, Pascale Arbillot",111,fr,https://image.tmdb.org/t/p/w500/qycPITRqXgPai7zj1gKffjCdSB5.jpg,"BE, FR"
John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",2017,Crime,Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio, Ruby Rose",122,en,https://image.tmdb.org/t/p/w500/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,US
Café 404,"In the barren stretch of the motorway, Jimmy’s family diner is on the verge of extinction—until a botched drug deal drops a bag of cash into his lap. Now, Jimmy must navigate the dangerous underworld of gangsters, shady cops, and his own treacherous staff to save the business he’s clung to his entire life. With a mix of crime, thriller, and dark comedy, Jimmy and his eccentric crew—Mara, Nicko, and Abi—must outsmart the criminals closing in, all while struggling with their own growing desires for the cash. It’s a game of survival, where no one plays fair.",2024,Crime,Alexandros Tsilifonis,"Dimitri Gripari, Karayianni Margaux, Jerome Kaluta, Antonis Tsiotsiopoulos, Maria Nafpliotou",94,en,https://image.tmdb.org/t/p/w500/k6ZqC43iOkr54DeITafF9nLTqEQ.jpg,GR
The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",2014,Crime,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Haley Bennett",132,en,https://image.tmdb.org/t/p/w500/9u4yW7yPA0BQ2pv9XwiNzItwvp8.jpg,US
The Beekeeper,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,2024,Crime,David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson, Jeremy Irons",105,en,https://image.tmdb.org/t/p/w500/A7EByudX0eOzlkQ2FIbogzyazm2.jpg,"GB, US"
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",2016,Crime,Gavin O'Connor,"Ben Affleck, Cynthia Addai-Robinson, Anna Kendrick, J.K. Simmons, Jon Bernthal",128,en,https://image.tmdb.org/t/p/w500/fceheXB5fC4WrLVuWJ6OZv9FXYr.jpg,US
Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2019,Crime,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen",122,en,https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,"CA, US"
Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",2021,Crime,Guy Ritchie,"Jason Statham, Holt McCallany, Rocci Williams, Josh Hartnett, Jeffrey Donovan",118,en,https://image.tmdb.org/t/p/w500/M7SUK85sKjaStg4TKhlAVyGlz3.jpg,"GB, US"
The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974,Crime,Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale",202,en,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,US
Girl in the Basement,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",2021,Crime,Elisabeth Röhm,"Judd Nelson, Stefanie Scott, Joely Fisher, Braxton Bjerken, Kim Rosen",88,en,https://image.tmdb.org/t/p/w500/tPP9n6r5QrIKPnshnJqE7klptj2.jpg,US
John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",2019,Crime,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne, Mark Dacascos",131,en,https://image.tmdb.org/t/p/w500/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,US
Squid Game: Making Season 2,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life.",2025,Documentary,,"Hwang Dong-hyuk, Lee Jung-jae, Lee Byung-hun, Chae Kyoung-sun, Kim Ji-yong",28,ko,https://image.tmdb.org/t/p/w500/yQGaui0bQ5Ai3KIFBB45nTeIqad.jpg,KR
Squid Game in Conversation,"Take a seat with the director and cast of Squid Game. Discover key moments, hear untold stories and see what this entire journey meant to them.",2025,Documentary,,"Hwang Dong-hyuk, Lee Jung-jae, Lee Byung-hun",33,ko,https://image.tmdb.org/t/p/w500/gn1rd6ZTJSfVLGzPDqiBv2xNRjj.jpg,KR
Van Gogh by Vincent,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",2025,Documentary,Richard Shaw,"Zahra Ahmadi, Jack Etchells, Adam Woolley, Frances Christie, Neil Lebeter",46,fr,https://image.tmdb.org/t/p/w500/z73X4WKZghBh5fri31o8P6vBEB2.jpg,GB
Africa Blood and Guts,"A chronicle of the violence that occurred in much of the African continent throughout the 1960s. As many African countries were transitioning from colonial rule to other forms of government, violent political upheavals were frequent. Revolutions in Zanzibar and Kenya in which thousands were killed are shown, the violence not only political; there is also extensive footage of hunters and poachers slaughtering different types of wild animals.",1966,Documentary,Gualtiero Jacopetti,"Sergio Rossi, Jomo Kenyatta, Gualtiero Jacopetti, Julius Nyerere, Moïse Kapenda Tshombe",138,it,https://image.tmdb.org/t/p/w500/fPLzCid2gk7eOCrYlXIBU24bTpO.jpg,IT
Countdown: Taylor vs. Serrano,"Two elite boxers, Katie Taylor and Amanda Serrano, prepare for their epic trilogy finale, a live-streamed match on Netflix July 11. Uma Thurman narrates their rigorous training journey.",2025,Documentary,,"Katie Taylor, Amanda Serrano, Uma Thurman, Jake Paul",49,en,https://image.tmdb.org/t/p/w500/lFsLbXGuMiH9ZAYy3O22ccwDsDH.jpg,US
Jurassic World Rebirth: The Making of a New Era,"A behind-the-scenes look with the cast and crew, featuring thrilling locations, deadly new dinosaurs and the next evolution of the iconic franchise.",2025,Documentary,,"Scarlett Johansson, Jonathan Bailey, Mahershala Ali, Gareth Edwards, David Koepp",22,en,https://image.tmdb.org/t/p/w500/uJUzfTtbCUG1GXmVS24h8h0hXX3.jpg,US
Jurassic Greatest Moments: Jurassic Park to Jurassic World,"Join the cast of ""Jurassic World Dominion"" as they relive their favorite unforgettable, action-packed and epic moments from the ""Jurassic World"" franchise.",2022,Documentary,,"Sam Neill, Laura Dern, Jeff Goldblum, Bryce Dallas Howard, Chris Pratt",44,en,https://image.tmdb.org/t/p/w500/tPdsrxdJBBIvJi5rwcnYGUoPAai.jpg,"GB, US"
Trainwreck: Poop Cruise,"An engine fire leaves 4,000 passengers stranded at sea without power and plumbing in this wild documentary about the infamous ""poop cruise"" of 2013.",2025,Documentary,James Ross,"Frank Spagnoletti, Devin Marble, Kalin Lamm, Ashley Lamm, Jayme Lamm",55,en,https://image.tmdb.org/t/p/w500/nJZlsBpDxx3LrGwXvwXkQyVnp9A.jpg,"GB, US"
Super/Man: The Christopher Reeve Story,"Christopher Reeve portrayed the Man of Steel in four Superman films and played dozens of other roles that displayed his talent and range as an actor, before being injured in a near-fatal horse-riding accident in 1995 that left him paralyzed from the neck down. After becoming a quadriplegic, he became a charismatic leader and activist in the quest to find a cure for spinal cord injuries, as well as a passionate advocate for disability rights and care.",2024,Documentary,Ian Bonhôte,"Will Reeve, Alexandra Reeve Givens, Gae Exton, Glenn Close, Jeff Daniels",104,en,https://image.tmdb.org/t/p/w500/73WchlI0Hj4HQd0T2KOztKquOek.jpg,"US, GB"
Ronnie Coleman: The King,"Ronnie Coleman is known as ""The King"" and for good reason. He is the 8x Mr. Olympia champion in the world of bodybuilding - sharing the world record for most Olympia wins. Now retired, he has undergone over 6 surgeries leaving him unable to walk without crutches but his desire to train like a pro bodybuilder has not dissipated. Exploring the history of his career as a bodybuilding legend and following his journey to recovery; for the first time ever discover the true man behind The King.",2018,Documentary,Vlad Yudin,"Ronnie Coleman, Jay Cutler, Shawn Ray, Kai Greene, Victor Martinez",93,en,https://image.tmdb.org/t/p/w500/hh8PTJdrYKX5wo50DOipH5yvxYR.jpg,US
Goodbye Horses: The Many Lives of Q Lazzarus,"A feature documentary about the life and music of singer-songwriter Diane Luckey, also known as Q Lazzarus. Q sang the hit song 'Goodbye Horses', which appeared in the Jonathan Demme films Married to the Mob and Silence of the Lambs, and had a brief moment of fame in the late 1980s/early 1990s before mysteriously disappearing for 25 years.",2025,Documentary,Eva Aridjis,"Q Lazzarus, Eva Aridjis, Jon Bouillot, Rick Duce, James Luckey Lange",103,en,https://image.tmdb.org/t/p/w500/yLiXDvICjYV8XVlQtDnhNGt5QS4.jpg,
Grenfell: Uncovered,"Survivors, witnesses, and experts tell the story of the tragic fire that engulfed a residential tower block in London — and the investigation that ensued.",2025,Documentary,Olaide Sadiq,"David Cameron, Theresa May",101,en,https://image.tmdb.org/t/p/w500/acbYuv9ZuO0Rvwi2QV8wQe7e1UP.jpg,GB
Elon Musk: The Real Life Iron Man,"Discover the meteoric rise of Elon Musk, the man who is transforming the way we think about travel technology through electric cars, the Hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing Mars.",2018,Documentary,Sonia Anderson,"Elon Musk, Amber Heard",71,en,https://image.tmdb.org/t/p/w500/cksDBstIK9jt72vsy6vyrlBqsDg.jpg,"GB, US"
In the Shadow of the Vampire: The Making of Interview with the Vampire,"A behind-the-scenes documentary of the 1994 film, Interview with the Vampire.",2000,Documentary,,"Neil Jordan, Anne Rice, Stephen Rea, Kirsten Dunst, Stan Winston",30,en,https://image.tmdb.org/t/p/w500/jbVPk2hl8fA2IkgtfdubPYczeRg.jpg,US
X-Rated: The Greatest Adult Movies of All Time,"The evolution of adult cinema through the most influential films in history, a journey that begins in the 1970s and ends nowadays. An in-depth analysis of the success of the most prestigious erotic films, their impact on industry and society, and their influence on cinema and contemporary culture.",2015,Documentary,Eli Cross,"Chanel Preston, Christy Canyon, Georgina Spelvin, Janine Lindemulder, Jenna Jameson",94,en,https://image.tmdb.org/t/p/w500/1UgdqTHgwNivULiZvNcJ0Mj3skl.jpg,US
'Klute' in New York,"A closer look at the making of ""Klute"" (1971). The project follows the complex shooting on multiple locations in New York with major stars Jane Fonda and Donald Sutherland, under the direction of Alan J. Pakula. The two actors and the director share a little about their perspectives on the film and the experience of being part of it.",1971,Documentary,Elliot Geisinger,"Jane Fonda, Rita Gam, Alan J. Pakula, Donald Sutherland, Gordon Willis",8,en,https://image.tmdb.org/t/p/w500/6ZrChSiC45GFGqCzp7a2dJhtOeS.jpg,US
Pornocracy: The New Sex Multinationals,Never before have we watched as much porn as today yet the traditional porn industry is dying. The arrival of web sites showing amateur clips has transformed the way porn is made and consumed. Behind this transformation lies one opaque multinational.,2017,Documentary,Ovidie,"Arwen Gold, Stoya, Alina Henessy, Julia Grandi, Ovidie",77,fr,https://image.tmdb.org/t/p/w500/kfa1KHSaewjv9sSrrHDdWNdroyv.jpg,FR
Dangerous Stripper,"Approximately half a year after the strip debut that shook Japan, the original strip movie realized in collaboration with SOD and Asakusa Rockza is completely recorded. In addition to the bewitching stage at Rockza, a passionate strip image in the sun will be unveiled for the first time! There is no doubt that it will be the biggest shocking work in 2010! [* This work is an image video] [* Bonus footage, bonus images, etc. are not included]",2010,Documentary,Hiroshi Kashiwakura,Minako Komukai,60,ja,https://image.tmdb.org/t/p/w500/kKdoC2sdRDhNBXJxSkX76d0uRNn.jpg,JP
Oh La La Pauline!,"It starts like a fairy tale: there is a queen, a king and their beautiful children, Pauline, Anaïs and Guillaume.  But it's a little more complicated than that actually ...",2015,Documentary,Émilie Brisavoine,,88,fr,https://image.tmdb.org/t/p/w500/8yTWdD87dhRufW7Ixb1PDk4Mj5P.jpg,FR
Beyond Gay: The Politics of Pride,"Over the course of a year, film follows Vancouver Pride Society president Ken Coolen to various international Pride events, including Poland, Hungary, Russia, Sri Lanka and others where there is great opposition to pride parades. In North America, Pride is complicated by commercialization and a sense that the festivals are turning away from their political roots toward tourism, party promotion and entertainment. Christie documents the ways larger, more mainstream Pride events have supported the global Pride movement and how human rights components are being added to more established events. In the New York sequence, leaders organize an alternative Pride parade, the Drag March, set up to protest the corporatization of New York Pride. A parade in São Paulo, the world's largest Pride festival, itself includes a completely empty float, meant to symbolize all those lost to HIV and to anti-gay violence.",2010,Documentary,Bob Christie,"Ken Coolen, Gilbert Baker",87,en,https://image.tmdb.org/t/p/w500/7rPGoFpYF7zQ3aa7zeDpaOI8Kwl.jpg,CA
Hot Girls Wanted,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,2015,Documentary,Ronna Gradus,"Stella May, Brian Omally, Ava Taylor, John Anthony, Kelly Silguero",84,en,https://image.tmdb.org/t/p/w500/75ot83QOkc02vujyzmIbumQCU6Y.jpg,US
